[2025-07-28 06:48:59.213] [info]  DiscordSplash.signalReady
[2025-07-28 06:48:59.242] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-28 06:48:59.243] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-28 06:48:59.244] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-28 06:48:59.245] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-28 06:48:59.251] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-28 06:48:59.251] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-28 06:48:59.290] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-28 06:48:59.291] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-28 06:48:59.303] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-28 06:48:59.304] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-28 06:48:59.307] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-28 06:48:59.308] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-28 06:48:59.333] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-28 06:48:59.334] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-28 06:48:59.566] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-07-28 06:48:59.566] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-07-28 06:49:00.000] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-07-28 06:49:00.001] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-07-28 06:49:00.014] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-07-28 06:49:00.015] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-07-28 06:49:00.017] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-07-28 06:49:00.017] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-07-28 06:49:00.032] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-07-28 06:49:00.033] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-07-28 06:49:00.036] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-07-28 06:49:00.036] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-07-28 06:49:00.039] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-07-28 06:49:00.040] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-07-28 06:49:00.041] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-07-28 06:49:00.041] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-07-28 06:49:00.051] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-07-28 06:49:00.052] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-07-28 06:49:00.057] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
